date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:43	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2028%20Jun%202023%2023:04:41%20GMT	https://kit.pixel-show.com/robots.txt		(from )
02:04:43	105028/105028	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2023:04:41%20GMT	https://kit.pixel-show.com/grasp/template-kit/home/	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/template-kit/home/index.html	(from )
02:04:44	83419/83419	---M--	200	added ('OK')	text/css	etag:%22145db-5dbf36767931c%22	https://kit.pixel-show.com/grasp/wp-includes/css/dist/block-library/style.min.css?ver=5.9.7	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-includes/css/dist/block-library/style.min1014.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:44	1111/1111	---M--	200	added ('OK')	text/css	etag:%22457-5daf48d8ddbba%22	https://kit.pixel-show.com/grasp/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:44	5745/5745	---M--	200	added ('OK')	text/css	etag:%221671-5f9e8983edebf%22	https://kit.pixel-show.com/grasp/wp-content/themes/hello-elementor/style.min.css?ver=2.7.1	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/themes/hello-elementor/style.min653d.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:44	12285/12285	---M--	200	added ('OK')	text/css	etag:%222ffd-5f9e8983edebf%22	https://kit.pixel-show.com/grasp/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/themes/hello-elementor/theme.min653d.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:45	19443/19443	---M--	200	added ('OK')	text/css	etag:%224bf3-5fdf08a9bc33c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:45	9921/9921	---M--	200	added ('OK')	text/css	etag:%2226c1-5fdf08a99ee7a%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.13.4	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/css/frontend-legacy.mina44d.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:45	12876/12876	---M--	200	added ('OK')	text/css	etag:%22324c-5fdf08a9c5f7c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:45	135068/135068	---M--	200	added ('OK')	text/css	etag:%2220f9c-5fdf08a99fe1a%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.13.4	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/css/frontend.mina44d.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:45	5072/5072	---M--	200	added ('OK')	text/css	etag:%2213d0-5daf4b23fe627%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-4.css?ver=1636571815	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-48631.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:46	44825/44825	---M--	200	added ('OK')	text/css	etag:%22af19-5daf4b24796ed%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-5.css?ver=1636571815	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-58631.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:46	3933/3933	---M--	200	added ('OK')	text/css	etag:%22f5d-5f9e82c13140b%22	https://kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget.css?ver=4.3.25	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget163a.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:46	9371/9371	---M--	200	added ('OK')	text/css	etag:%22249b-5daf4b258adfb%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-217.css?ver=1636571815	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-2178631.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:47	10105/10105	---M--	200	added ('OK')	text/css	etag:%222779-5daf4b230a3da%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-220.css?ver=1636573393	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/elementor/css/post-2201a37.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:47	124837/124837	---M--	200	added ('OK')	text/css	etag:%221e7a5-5f9e82be1556f%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=2.8.7	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticonsa489.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:47	327993/327993	---M--	200	added ('OK')	text/css	etag:%2250139-5daf46ad0fc9c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.5.0	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor-pro/assets/css/frontend.min3b71.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:48	30283/30283	---M--	200	added ('OK')	text/css	etag:%22764b-5f9e82be2dc11%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=2.8.7	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsivea489.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:48	3509/3509	---M--	200	added ('OK')	text/css	etag:%22db5-5fbbc7df58a44%22	https://kit.pixel-show.com/grasp/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.7.2	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min9f31.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:48	57912/57912	---M--	200	added ('OK')	text/css	etag:%22e238-5fdf08a9bf21c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:48	448965/448965	---M--	200	added ('OK')	text/css	etag:%226d9c5-5f9e82be2ebb1%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.8.7	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-stylesa489.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:48	669/669	---M--	200	added ('OK')	text/css	etag:%2229d-5fdf08a9bf21c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:49	675/675	---M--	200	added ('OK')	text/css	etag:%222a3-5fdf08a9be27c%22	https://kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:49	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5daf55fc48254%22	https://kit.pixel-show.com/grasp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:49	7/7	---M--	200	added ('OK')	application/javascript	etag:%227-5daf48db1de97%22	https://kit.pixel-show.com/grasp/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.21	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min365c.js	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	1277/1277	---M--	200	added ('OK')	image/png	etag:%224fd-5daf4b738fc83%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/Grasp-_logo.png	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/Grasp-_logo.png	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	21910/21910	---M--	200	added ('OK')	image/jpeg	etag:%225596-5daf4b69e8124%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-1.jpg	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-1.jpg	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	12898/12898	---M--	200	added ('OK')	image/jpeg	etag:%223262-5daf4b29cac73%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-background-2.jpg	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-background-2.jpg	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5daf55fad8f41%22	https://kit.pixel-show.com/grasp/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-includes/js/jquery/jquery.minaf6c.js	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	3855/3855	---M--	200	added ('OK')	image/png	etag:%22f0f-5daf4b4a1193f%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/figure-1.png	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/figure-1.png	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:50	30832/30832	---M--	200	added ('OK')	image/jpeg	etag:%227870-5daf4b704ec38%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-2.jpg	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-2.jpg	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:51	2342/2342	---M--	200	added ('OK')	image/png	etag:%22926-5daf4b4e2b655%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/figure-3.png	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/figure-3.png	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:51	13913/13913	---M--	200	added ('OK')	image/png	etag:%223659-5daf4b5134bfd%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/quotes.png	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/quotes.png	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:51	72221/72221	---M--	200	added ('OK')	image/jpeg	etag:%2211a1d-5daf4b6df81f9%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-3.jpg	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/image-3.jpg	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:51	10726/10726	---M--	200	added ('OK')	image/png	etag:%2229e6-5daf4b70e1400%22	https://kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/photo-1.png	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/uploads/sites/2/2021/02/photo-1.png	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:52	10712/10712	---M--	200	added ('OK')	text/css	etag:%2229d8-5f9e82c13140b%22	https://kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluent-forms-public.css?ver=4.3.25	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluent-forms-public163a.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
02:04:52	16814/16814	---M--	200	added ('OK')	text/css	etag:%2241ae-5f9e82c13140b%22	https://kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluentform-public-default.css?ver=4.3.25	//Mac/Home/Desktop/noordwebsite/kit.pixel-show.com/grasp/wp-content/plugins/fluentform/public/css/fluentform-public-default163a.css	(from https://kit.pixel-show.com/grasp/template-kit/home/)
